"","SpecID","date","away_team","away_team_game_number","home_team","home_team_game_number","away_score","home_score","away_AB","away_H","away_2B","away_3B","away_HR","away_RBI","away_SH","away_SF","away_HBP","away_BB","away_IBB","away_SO","away_SB","away_CS","away_GIDP","away_left_on_base","home_AB","home_H","home_2B","home_3B","home_HR","home_RBI","home_SH","home_SF","home_HBP","home_BB","home_IBB","home_SO","home_SB","home_CS","home_GIDP","home_left_on_base"
"58","58 2019",2019-04-01,"NYN",4,"MIA",5,7,3,36,10,2,0,2,6,0,0,2,2,0,16,0,0,1,6,35,9,0,0,1,3,0,0,0,1,0,7,0,0,2,6
"59","59 2019",2019-04-01,"SLN",5,"PIT",3,6,5,40,8,2,0,1,5,0,0,3,8,0,17,0,1,1,12,35,6,2,0,1,5,1,1,2,8,1,9,0,0,2,9
"60","60 2019",2019-04-01,"ARI",5,"SDN",5,10,3,40,15,5,0,1,9,0,1,0,4,0,8,1,0,1,8,31,6,1,0,1,3,0,1,0,2,0,5,0,0,1,4
"61","61 2019",2019-04-01,"CHA",4,"CLE",4,3,5,30,3,1,0,1,3,1,0,1,4,0,14,0,0,0,6,32,8,3,0,0,4,0,0,0,5,1,6,0,0,1,8
"62","62 2019",2019-04-01,"DET",5,"NYA",4,1,3,29,2,1,0,0,0,0,0,0,7,0,9,0,0,0,8,29,5,1,0,2,2,0,0,0,4,0,8,1,0,0,6
"63","63 2019",2019-04-01,"BOS",5,"OAK",7,0,7,29,4,1,0,0,0,0,0,0,2,0,11,0,0,1,4,34,9,1,0,4,7,0,0,0,2,0,11,0,0,0,5
"64","64 2019",2019-04-01,"ANA",5,"SEA",7,3,6,35,8,1,0,0,3,0,0,1,1,1,5,0,0,1,7,33,10,1,0,1,6,0,0,1,6,0,7,3,0,1,10
"65","65 2019",2019-04-01,"COL",5,"TBA",5,1,7,32,6,1,0,0,1,0,0,1,1,0,12,0,0,1,6,32,9,1,0,2,7,0,1,0,4,0,9,0,0,0,6
"66","66 2019",2019-04-01,"HOU",5,"TEX",4,2,1,33,8,3,0,1,2,0,0,0,4,0,5,0,1,0,8,28,2,0,0,1,1,0,0,0,0,0,7,0,1,0,0
"67","67 2019",2019-04-01,"BAL",4,"TOR",5,6,5,32,6,0,0,2,5,0,1,2,3,0,12,0,0,0,5,31,6,1,1,2,5,0,1,0,2,0,10,0,0,1,2
"68","68 2019",2019-04-02,"MIL",6,"CIN",4,4,3,33,7,1,0,1,4,0,0,0,7,1,11,2,0,1,9,31,4,1,0,1,3,0,0,0,5,0,9,0,0,0,6
"69","69 2019",2019-04-02,"SFN",6,"LAN",6,5,6,34,9,1,0,1,5,0,0,0,2,0,8,0,0,3,4,30,7,1,0,1,6,0,1,0,3,1,5,0,0,0,4
"70","70 2019",2019-04-02,"NYN",5,"MIA",6,6,5,38,9,1,0,0,6,0,0,1,5,0,7,1,0,0,11,41,16,4,0,1,5,1,0,2,2,0,5,0,0,1,14
"71","71 2019",2019-04-02,"ARI",6,"SDN",6,8,5,41,14,3,0,5,7,0,0,0,4,0,8,2,0,0,10,38,11,0,0,3,5,0,0,0,1,0,13,1,0,0,7
"72","72 2019",2019-04-02,"PHI",4,"WAS",4,8,2,41,14,5,0,2,7,0,0,0,4,3,12,0,0,0,10,33,7,0,0,1,2,0,0,0,1,0,14,0,0,1,5
"73","73 2019",2019-04-02,"MIN",4,"KCA",4,5,4,41,12,3,0,0,5,0,0,2,6,0,10,0,1,0,14,37,10,2,1,2,4,0,1,1,1,0,7,1,0,1,6
"74","74 2019",2019-04-02,"DET",6,"NYA",5,3,1,37,11,5,0,0,3,0,0,0,1,0,12,0,0,1,8,31,6,1,0,0,1,0,1,1,1,1,8,1,0,0,6
"75","75 2019",2019-04-02,"BOS",6,"OAK",8,0,1,33,7,3,0,0,0,0,0,0,1,0,9,3,0,0,7,26,3,0,0,1,1,0,0,1,3,0,4,0,0,1,5
"76","76 2019",2019-04-02,"ANA",6,"SEA",8,1,2,31,4,1,0,0,1,0,0,0,1,0,4,0,0,0,4,29,5,3,0,1,2,0,0,0,0,0,6,0,0,0,3
"77","77 2019",2019-04-02,"COL",6,"TBA",6,0,4,27,2,0,0,0,0,0,0,0,2,0,14,0,1,1,2,33,8,2,0,0,3,0,0,1,6,0,13,1,0,0,12
"78","78 2019",2019-04-02,"HOU",6,"TEX",5,4,6,34,12,2,0,0,4,1,1,1,5,0,5,4,0,2,11,32,9,2,1,1,6,0,0,1,4,0,9,0,0,0,7
"79","79 2019",2019-04-02,"BAL",5,"TOR",6,2,1,34,10,3,1,0,2,0,0,0,2,1,8,0,0,2,7,31,6,0,0,1,1,0,0,0,4,0,4,0,0,2,7
"80","80 2019",2019-04-03,"CHN",5,"ATL",5,4,6,35,12,0,0,1,3,0,0,0,6,0,13,0,1,1,10,30,8,1,0,2,6,0,1,0,8,0,8,1,0,1,9
"81","81 2019",2019-04-03,"MIL",7,"CIN",5,1,0,28,2,1,0,0,1,0,0,1,5,0,10,2,0,0,6,30,3,0,0,0,0,0,0,0,1,0,12,0,0,0,4
"82","82 2019",2019-04-03,"SFN",7,"LAN",7,3,5,32,6,0,0,2,3,0,0,1,1,0,5,0,0,0,4,31,7,4,0,1,5,0,0,0,5,0,10,0,0,0,7
"83","83 2019",2019-04-03,"NYN",6,"MIA",7,6,4,38,10,3,1,1,6,0,0,0,3,2,10,0,0,0,8,34,7,3,0,0,4,0,0,0,3,0,15,0,0,0,6
"84","84 2019",2019-04-03,"SLN",6,"PIT",4,5,4,37,7,1,1,2,4,0,0,0,3,0,8,1,0,0,5,38,8,3,1,1,4,0,0,0,7,0,7,2,0,1,11
"85","85 2019",2019-04-03,"ARI",7,"SDN",7,1,4,33,7,5,0,0,1,0,0,0,1,0,11,0,0,1,6,28,5,1,0,1,4,0,0,0,6,0,7,0,0,1,6
"86","86 2019",2019-04-03,"PHI",5,"WAS",5,8,9,37,10,3,0,0,8,0,0,0,7,2,8,0,0,0,9,35,12,3,0,3,8,0,0,0,7,0,8,1,0,0,9
"87","87 2019",2019-04-03,"CHA",5,"CLE",5,8,3,40,13,3,0,1,8,0,0,0,4,0,10,1,0,0,9,34,5,0,0,1,3,0,0,0,1,0,13,0,0,0,5
"88","88 2019",2019-04-03,"MIN",5,"KCA",5,7,6,34,11,5,0,0,7,0,1,2,5,0,10,1,0,2,8,36,9,0,1,1,6,0,0,0,3,0,5,1,1,0,6
"89","89 2019",2019-04-03,"DET",7,"NYA",6,2,1,29,3,1,0,1,2,0,1,0,3,0,8,2,0,0,4,31,5,1,0,0,1,0,0,0,4,0,18,1,1,0,7
"90","90 2019",2019-04-03,"BOS",7,"OAK",9,6,3,36,9,2,1,1,6,0,0,1,2,0,7,0,1,0,6,32,5,0,0,1,3,0,0,2,5,0,7,1,0,1,9
